instance,solver,run,nvertices,nedges,nA,nB,nvars,ncons,state,time,nodes,nodesLeft,lb,ub,gap,ninfeas,ninfeasPrepro,ninfeasCheck,ninfeasAux,nint,ngcp,gcpTime,nsol,nsolHeur,nsolLR,ntrivial,bestTime,bestIter,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n150_p0.75_nA30_nB30_i2,heur_greedy2s_v2,0,150,8301,30,30,-1,-1,FEASIBLE,0.0139052,0,0,-1.0,10.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.75_nA30_nB30_i0,heur_greedy2s_v2,0,150,8404,30,30,-1,-1,FEASIBLE,0.0212149,0,0,-1.0,12.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.25_nA15_nB30_i1,heur_greedy2s_v2,0,150,2756,15,30,-1,-1,FEASIBLE,0.00146277,0,0,-1.0,3.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.75_nA30_nB15_i1,heur_greedy2s_v2,0,150,8405,30,15,-1,-1,FEASIBLE,0.00545128,0,0,-1.0,12.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n100_p0.25_nA10_nB20_i1,heur_greedy2s_v2,0,100,1262,10,20,-1,-1,FEASIBLE,0.00138525,0,0,-1.0,2.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n100_p0.25_nA20_nB20_i2,heur_greedy2s_v2,0,100,1245,20,20,-1,-1,FEASIBLE,0.00223786,0,0,-1.0,3.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n100_p0.25_nA10_nB10_i0,heur_greedy2s_v2,0,100,1244,10,10,-1,-1,FEASIBLE,0.00256891,0,0,-1.0,3.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n100_p0.25_nA10_nB10_i2,heur_greedy2s_v2,0,100,1275,10,10,-1,-1,FEASIBLE,0.00288532,0,0,-1.0,3.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n100_p0.25_nA20_nB20_i1,heur_greedy2s_v2,0,100,1269,20,20,-1,-1,FEASIBLE,0.000787136,0,0,-1.0,4.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.25_nA15_nB15_i1,heur_greedy2s_v2,0,150,2818,15,15,-1,-1,FEASIBLE,0.00164091,0,0,-1.0,3.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
