instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,initialHeurValue,initialHeurTime,initialSemigreedyIters,nNodesInt,nNodesFrac,nNodesGcp,nNodesTrivial,nNodesInfeas,nNodesInfeasPrepro,nNodesInfeasCheck,nNodesInfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ninitSol,ninitDummy,ninit,rootNVertices,rootNEdges,rootNP,rootNQ,rootlb,rootub,rootHeurTime,rootFeasTime,rootCgTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n110_p0.25_nA33_nB22_i1,byp_,0,110,1531,33,22,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,7200.0,516,251,3.0,4.0,0.25,4.0,16.788,40000,0,516,0,0,0.0,0,0,0,0.0,1,1,0,0,0,517,0,517,106,1537,33,22,2.6007,6.0,0.000598123,0.0,42.1831,105087,0,105000,30,29,28,628,0,599,1,1,27,42.1018,2.7025e-05,6.40609,0.191369,0.240489,35.2638,0.00054885,0,0.0,42595.0,6654.0,35875.0,23.0,20.0,20.0,146.0,62.0,61.0,2.0,0.0,19.0,13.8445,0.00296854,1.49702,0.0571546,0.0810449,12.2063
r_n110_p0.75_nA33_nB33_i2,byp_,0,110,4480,33,33,-1,-1,OPTIMAL,optimality proven,660.072,271,0,9.0,9.0,0.0,10.0,27.4923,40000,1,270,0,0,0.0,0,0,0,0.0,2,1,1,0,0,170,101,271,101,3809,33,33,8.21524,11.0,0.00118739,0.0,14.7408,39028,0,39000,14,7,7,221,0,200,15,0,6,14.7234,3.229e-06,1.6161,0.0760069,0.0646314,12.9666,0.000779959,0,0.0,10389.0,952.0,9425.0,5.0,2.0,2.0,53.0,32.0,15.0,5.0,0.0,1.0,2.2797,0.000234409,0.332095,0.0147235,0.0140293,1.91861
r_n110_p0.25_nA33_nB33_i2,byp_,0,110,1520,33,33,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,7200.0,648,324,3.0,4.0,0.25,4.0,16.3083,40000,0,648,0,0,0.0,0,0,0,0.0,1,1,0,0,0,649,0,649,107,1548,33,33,2.54474,5.0,0.000602382,0.0,43.1935,108089,0,108000,39,25,25,507,0,460,23,0,24,43.1376,8.546e-06,5.89417,0.292142,0.319248,36.632,0.000556379,0,0.0,35572.0,4853.0,30670.0,19.0,14.0,14.0,127.0,53.0,53.0,5.0,0.0,13.0,11.0179,0.00213781,1.3219,0.0865434,0.0849255,9.52244
r_n110_p0.25_nA22_nB22_i0,byp_,0,110,1448,22,22,-1,-1,OPTIMAL,optimality proven,11.078,1,0,2.0,2.0,0.0,2.0,0.747876,3724,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,103,1465,21,22,1.65367,3.0,0.000356278,0.0,10.3286,51040,0,51000,22,9,9,260,0,233,19,0,8,10.3134,4.823e-06,2.32403,0.149063,0.0872664,7.75301,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.75_nA22_nB33_i0,byp_,0,110,4478,22,33,-1,-1,OPTIMAL,optimality proven,282.289,135,0,6.0,6.0,0.0,6.0,21.8249,40000,0,135,0,0,0.0,0,0,0,0.0,1,1,0,0,0,135,0,135,107,4302,22,33,4.71817,9.0,0.000874247,0.0,2.99732,18005,0,18000,3,1,1,136,0,132,4,0,0,2.98978,1.082e-06,0.950629,0.0142895,0.0100769,2.01478,0.000955948,0,0.0,6746.0,374.0,6365.0,3.0,1.0,1.0,31.0,16.0,11.0,3.0,0.0,0.0,1.91452,0.00012249,0.362351,0.0122929,0.00802906,1.53172
r_n110_p0.5_nA22_nB22_i2,byp_,0,110,2994,22,22,-1,-1,OPTIMAL,optimality proven,524.526,41,0,4.0,4.0,0.0,4.0,15.1311,40000,0,41,0,0,0.0,0,0,0,0.0,1,1,0,0,0,41,0,41,110,3127,22,22,2.87461,6.0,0.000643147,0.0,27.6281,51040,0,51000,21,10,9,255,0,229,17,1,8,27.611,3.751e-06,2.87044,0.140821,0.100926,24.4988,0.000674127,0,0.0,16705.0,1456.0,15225.0,9.0,7.0,6.0,65.0,29.0,27.0,3.0,0.0,5.0,12.0347,0.000442419,0.895826,0.0559725,0.049565,11.0328
r_n110_p0.5_nA22_nB33_i2,byp_,0,110,2942,22,33,-1,-1,OPTIMAL,optimality proven,1359.16,397,0,3.0,3.0,0.0,4.0,15.8112,40000,1,396,0,0,0.0,0,0,0,0.0,2,1,1,0,0,397,0,397,110,3079,22,33,2.71635,5.0,0.000628094,0.0,5.23618,30012,0,30000,10,1,1,181,0,164,17,0,0,5.22552,2.54e-06,1.6648,0.0441854,0.012396,3.50414,0.000660742,0,0.0,11868.0,889.0,10967.0,6.0,2.0,2.0,55.0,24.0,24.0,5.0,0.0,1.0,3.37162,0.00030111,0.544182,0.024196,0.0157344,2.78721
r_n110_p0.75_nA22_nB22_i0,byp_,0,110,4478,22,22,-1,-1,INFEASIBLE,infeasibility proven,0.00109957,1,0,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,97,3538,21,22,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.25_nA33_nB33_i1,byp_,0,110,1487,33,33,-1,-1,OPTIMAL,optimality proven,87.5511,1,0,3.0,3.0,0.0,3.0,0.902327,2183,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,108,1555,33,33,2.39417,4.0,0.000593909,0.0,86.6464,131127,0,131000,62,33,32,560,0,492,36,1,31,86.5764,1.4576e-05,7.08463,0.702218,0.508223,78.2813,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.5_nA22_nB33_i1,byp_,0,110,2983,22,33,-1,-1,OPTIMAL,optimality proven,974.28,315,0,4.0,4.0,0.0,4.0,15.462,40000,0,315,0,0,0.0,0,0,0,0.0,1,1,0,0,0,315,0,315,107,2924,22,33,2.74893,6.0,0.000700613,0.0,9.70618,44022,0,44000,16,3,3,197,0,175,20,0,2,9.69271,3.492e-06,2.31028,0.0683603,0.0302662,7.2838,0.00067863,0,0.0,12325.0,941.0,11372.0,6.0,2.0,2.0,57.0,25.0,24.0,6.0,0.0,1.0,3.01491,0.00033456,0.587734,0.021721,0.014211,2.39091
r_n110_p0.25_nA22_nB22_i1,byp_,0,110,1490,22,22,-1,-1,OPTIMAL,optimality proven,19.7786,1,0,2.0,2.0,0.0,2.0,0.177819,798,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,110,1671,22,22,1.50984,3.0,0.000390264,0.0,19.5992,71046,0,71000,25,14,7,286,0,259,14,7,6,19.5786,6.129e-06,4.1592,0.505968,0.385901,14.5275,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.75_nA33_nB22_i1,byp_,0,110,4543,33,22,-1,-1,OPTIMAL,optimality proven,28.4509,15,0,12.0,12.0,0.0,-1.0,4.43678,40000,2,11,0,0,2.0,0,0,2,0.0,1,0,1,0,0,0,15,15,86,2814,33,22,10.85,-1.0,0.000162889,0.0,10.7195,93114,0,93000,54,30,30,259,0,205,25,0,29,10.6946,8.051e-06,2.92675,0.0112621,0.0678523,7.6887,0.000222678,0,0.0,11859.0,1633.0,10214.0,6.0,2.0,2.0,69.0,49.0,14.0,3.0,0.0,1.0,0.943804,0.000298254,0.243747,0.00245357,0.0100934,0.687212
r_n110_p0.75_nA33_nB33_i1,byp_,0,110,4497,33,33,-1,-1,OPTIMAL,optimality proven,5069.61,2373,0,9.0,9.0,0.0,10.0,35.8916,40000,1,2372,0,0,0.0,0,0,0,0.0,2,1,1,0,0,2351,22,2373,105,4127,33,33,8.04423,10.0,0.00130617,0.0,11.2795,47033,0,47000,23,5,5,213,0,175,34,0,4,11.2591,3.545e-06,2.25952,0.075237,0.0479869,8.87631,0.00107727,0,0.0,10478.0,844.0,9621.0,6.0,2.0,2.0,46.0,26.0,11.0,6.0,0.0,1.0,2.10887,0.000207012,0.32425,0.0152845,0.0137589,1.75537
r_n110_p0.75_nA22_nB33_i2,byp_,0,110,4472,22,33,-1,-1,OPTIMAL,optimality proven,277.019,117,0,5.0,5.0,0.0,6.0,20.7334,40000,1,116,0,0,0.0,0,0,0,0.0,2,1,1,0,0,117,0,117,110,4543,22,33,4.59725,8.0,0.000859822,0.0,6.80682,23013,0,23000,9,2,2,123,0,108,14,0,1,6.79808,1.384e-06,1.0552,0.0391865,0.0204578,5.68323,0.000866837,0,0.0,7015.0,397.0,6612.0,3.0,1.0,1.0,31.0,15.0,11.0,4.0,0.0,0.0,2.14369,0.000118867,0.305204,0.0142756,0.00856735,1.81553
r_n110_p0.75_nA33_nB33_i0,byp_,0,110,4478,33,33,-1,-1,OPTIMAL,optimality proven,4362.85,2473,0,9.0,9.0,0.0,10.0,33.3924,40000,1,2471,0,0,1.0,1,0,0,0.0,2,1,1,0,0,2426,46,2472,101,3787,33,33,8.04886,12.0,0.00119717,0.0,7.30369,39023,0,39000,15,4,4,204,0,185,16,0,3,7.28671,2.647e-06,1.80948,0.0583045,0.0373673,5.38155,0.000972429,0,0.0,9520.0,713.0,8795.0,5.0,2.0,2.0,43.0,24.0,11.0,5.0,0.0,1.0,1.7407,0.000182062,0.269553,0.0128876,0.011236,1.44685
r_n110_p0.5_nA22_nB33_i0,byp_,0,110,2963,22,33,-1,-1,OPTIMAL,optimality proven,144.564,35,0,4.0,4.0,0.0,4.0,16.6405,40000,0,35,0,0,0.0,0,0,0,0.0,1,1,0,0,0,35,0,35,108,3001,22,33,2.89259,5.0,0.000719456,0.0,14.9885,40027,0,40000,16,6,5,189,0,168,16,1,4,14.9765,3.026e-06,2.19731,0.0868857,0.0581646,12.6341,0.000713656,0,0.0,12479.0,791.0,11676.0,7.0,2.0,2.0,53.0,20.0,23.0,8.0,0.0,1.0,3.31388,0.000258158,0.702895,0.025754,0.0152219,2.56975
