instance,solver,run,nvertices,nedges,n,m,state,terminationReason,value,totalTime,totalIters,bestTime,bestIter
r_n150_p0.5_nA45_nB30_i1,heur_greedy2s_v1,0,150,5541,45,30,FEASIBLE,time limit with feasible solution,11,0.00129593,1,0.0012959,0
r_n150_p0.75_nA30_nB30_i2,heur_greedy2s_v1,0,150,8343,30,30,FEASIBLE,time limit with feasible solution,11,0.00125889,1,0.00125881,0
r_n150_p0.25_nA30_nB45_i0,heur_greedy2s_v1,0,150,2747,30,45,FEASIBLE,time limit with feasible solution,5,0.000567885,1,0.000567851,0
r_n150_p0.25_nA45_nB30_i0,heur_greedy2s_v1,0,150,2747,45,30,FEASIBLE,time limit with feasible solution,6,0.000818726,1,0.00081869,0
r_n150_p0.75_nA30_nB30_i1,heur_greedy2s_v1,0,150,8408,30,30,FEASIBLE,time limit with feasible solution,11,0.00122952,1,0.00122948,0
r_n150_p0.25_nA45_nB30_i2,heur_greedy2s_v1,0,150,2794,45,30,FEASIBLE,time limit with feasible solution,6,0.000800707,1,0.000800665,0
r_n150_p0.75_nA30_nB45_i1,heur_greedy2s_v1,0,150,8353,30,45,FEASIBLE,time limit with feasible solution,12,0.00130635,1,0.00130627,0
r_n150_p0.25_nA30_nB45_i1,heur_greedy2s_v1,0,150,2822,30,45,FEASIBLE,time limit with feasible solution,4,0.000562884,1,0.000562849,0
r_n150_p0.75_nA30_nB45_i0,heur_greedy2s_v1,0,150,8394,30,45,FEASIBLE,time limit with feasible solution,10,0.00134772,1,0.00134769,0
r_n150_p0.5_nA30_nB45_i2,heur_greedy2s_v1,0,150,5525,30,45,FEASIBLE,time limit with feasible solution,6,0.00101207,1,0.00101203,0
r_n150_p0.5_nA45_nB30_i2,heur_greedy2s_v1,0,150,5567,45,30,UNKNOWN,unknown,-1,5.54e-05,1,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i0,heur_greedy2s_v1,0,150,8394,30,30,FEASIBLE,time limit with feasible solution,11,0.00136802,1,0.00136799,0
r_n150_p0.25_nA30_nB30_i1,heur_greedy2s_v1,0,150,2834,30,30,FEASIBLE,time limit with feasible solution,4,0.000584959,1,0.000584924,0
r_n150_p0.5_nA30_nB30_i2,heur_greedy2s_v1,0,150,5522,30,30,FEASIBLE,time limit with feasible solution,7,0.000983929,1,0.000983892,0
r_n150_p0.5_nA45_nB45_i2,heur_greedy2s_v1,0,150,5526,45,45,FEASIBLE,time limit with feasible solution,10,0.00145858,1,0.00145854,0
r_n150_p0.5_nA30_nB30_i0,heur_greedy2s_v1,0,150,5548,30,30,FEASIBLE,time limit with feasible solution,7,0.000989622,1,0.000989587,0
r_n150_p0.25_nA30_nB30_i2,heur_greedy2s_v1,0,150,2797,30,30,FEASIBLE,time limit with feasible solution,4,0.000551134,1,0.000551096,0
r_n150_p0.5_nA30_nB45_i0,heur_greedy2s_v1,0,150,5548,30,45,FEASIBLE,time limit with feasible solution,7,0.0010069,1,0.00100687,0
r_n150_p0.75_nA45_nB45_i2,heur_semigreedy2s_v2,0,150,8347,45,45,FEASIBLE,time limit with feasible solution,13,165.035,100000,0.899058,542
r_n150_p0.5_nA30_nB45_i1,heur_semigreedy2s_v2,0,150,5541,30,45,FEASIBLE,time limit with feasible solution,5,91.613,100000,0.118886,129
r_n150_p0.5_nA45_nB45_i0,heur_semigreedy2s_v2,0,150,5548,45,45,FEASIBLE,time limit with feasible solution,8,136.076,100000,0.185922,137
r_n150_p0.75_nA30_nB45_i2,heur_semigreedy2s_v2,0,150,8343,30,45,FEASIBLE,time limit with feasible solution,8,125.45,100000,0.0365145,28
r_n150_p0.75_nA45_nB30_i2,heur_semigreedy2s_v2,0,150,8354,45,30,UNKNOWN,unknown,-1,5.94682,100000,-1,18446744073709551615
r_n150_p0.75_nA45_nB30_i1,heur_semigreedy2s_v2,0,150,8353,45,30,FEASIBLE,time limit with feasible solution,15,129.394,100000,0.132686,101
r_n150_p0.25_nA45_nB45_i2,heur_semigreedy2s_v2,0,150,2800,45,45,FEASIBLE,time limit with feasible solution,5,84.1281,100000,0.00610438,6
r_n150_p0.5_nA45_nB45_i1,heur_semigreedy2s_v2,0,150,5542,45,45,FEASIBLE,time limit with feasible solution,8,136.255,100000,0.52207,384
r_n150_p0.25_nA45_nB45_i1,heur_semigreedy2s_v2,0,150,2820,45,45,FEASIBLE,time limit with feasible solution,5,84.2766,100000,0.00179429,1
