instance,solver,run,nvertices,nedges,n,m,state,terminationReason,value,totalTime,totalIters,bestTime,bestIter
r_n150_p0.75_nA45_nB30_i0,heur_semigreedy2s_v2_a0.15,0,150,8394,45,30,FEASIBLE,time limit with feasible solution,16,26.2081,50000,1.94492,3709
r_n150_p0.25_nA30_nB45_i2,heur_semigreedy2s_v2_a0.15,0,150,2796,30,45,FEASIBLE,time limit with feasible solution,3,30.1688,50000,0.0148071,23
r_n150_p0.5_nA45_nB30_i1,heur_semigreedy2s_v2_a0.15,0,150,5541,45,30,FEASIBLE,time limit with feasible solution,9,59.9737,50000,0.0426816,35
r_n150_p0.75_nA30_nB30_i2,heur_semigreedy2s_v2_a0.15,0,150,8343,30,30,FEASIBLE,time limit with feasible solution,8,55.1833,50000,2.57325,2332
r_n150_p0.25_nA30_nB45_i0,heur_semigreedy2s_v2_a0.15,0,150,2747,30,45,FEASIBLE,time limit with feasible solution,3,30.2558,50000,13.4945,22313
r_n150_p0.25_nA45_nB30_i0,heur_semigreedy2s_v2_a0.15,0,150,2747,45,30,FEASIBLE,time limit with feasible solution,5,40.2483,50000,0.853595,1059
r_n150_p0.75_nA30_nB30_i1,heur_semigreedy2s_v2_a0.15,0,150,8408,30,30,FEASIBLE,time limit with feasible solution,8,51.0996,50000,35.7487,34969
r_n150_p0.25_nA45_nB30_i2,heur_semigreedy2s_v2_a0.15,0,150,2794,45,30,FEASIBLE,time limit with feasible solution,5,39.869,50000,0.299633,377
r_n150_p0.75_nA30_nB45_i1,heur_semigreedy2s_v2_a0.15,0,150,8353,30,45,FEASIBLE,time limit with feasible solution,8,59.5547,50000,9.88342,8313
r_n150_p0.25_nA30_nB45_i1,heur_semigreedy2s_v2_a0.15,0,150,2822,30,45,FEASIBLE,time limit with feasible solution,3,30.2902,50000,0.0485833,78
r_n150_p0.75_nA30_nB45_i0,heur_semigreedy2s_v2_a0.15,0,150,8394,30,45,FEASIBLE,time limit with feasible solution,8,60.9905,50000,3.89253,3190
r_n150_p0.5_nA30_nB45_i2,heur_semigreedy2s_v2_a0.15,0,150,5525,30,45,FEASIBLE,time limit with feasible solution,5,51.177,50000,0.0785572,76
r_n150_p0.5_nA45_nB30_i2,heur_semigreedy2s_v2_a0.15,0,150,5567,45,30,UNKNOWN,unknown,-1,2.33007,50000,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i0,heur_semigreedy2s_v2_a0.15,0,150,8394,30,30,FEASIBLE,time limit with feasible solution,8,52.0287,50000,25.3857,24391
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v2_a0.15,0,150,2834,30,30,FEASIBLE,time limit with feasible solution,3,27.8104,50000,1.94932,3511
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v2_a0.15,0,150,5522,30,30,FEASIBLE,time limit with feasible solution,5,45.3595,50000,3.31364,3657
r_n150_p0.5_nA45_nB45_i2,heur_semigreedy2s_v2_a0.15,0,150,5526,45,45,FEASIBLE,time limit with feasible solution,8,73.2091,50000,0.522148,356
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v2_a0.15,0,150,5548,30,30,FEASIBLE,time limit with feasible solution,6,45.1291,50000,0.0528705,57
r_n150_p0.25_nA30_nB30_i2,heur_semigreedy2s_v2_a0.15,0,150,2797,30,30,FEASIBLE,time limit with feasible solution,3,27.7831,50000,0.00627104,10
r_n150_p0.5_nA30_nB45_i0,heur_semigreedy2s_v2_a0.15,0,150,5548,30,45,FEASIBLE,time limit with feasible solution,6,48.4813,50000,0.0341508,34
r_n150_p0.75_nA45_nB45_i2,heur_semigreedy2s_v2_a0.35,0,150,8347,45,45,FEASIBLE,time limit with feasible solution,13,88.7974,50000,0.483816,272
r_n150_p0.5_nA30_nB45_i1,heur_semigreedy2s_v2_a0.35,0,150,5541,30,45,FEASIBLE,time limit with feasible solution,5,48.1096,50000,3.87551,4041
r_n150_p0.5_nA45_nB45_i0,heur_semigreedy2s_v2_a0.35,0,150,5548,45,45,FEASIBLE,time limit with feasible solution,8,72.8694,50000,0.931721,639
r_n150_p0.75_nA30_nB45_i2,heur_semigreedy2s_v2_a0.35,0,150,8343,30,45,FEASIBLE,time limit with feasible solution,8,66.2236,50000,10.4269,7874
r_n150_p0.75_nA45_nB30_i2,heur_semigreedy2s_v2_a0.35,0,150,8354,45,30,UNKNOWN,unknown,-1,3.04772,50000,-1,18446744073709551615
r_n150_p0.75_nA45_nB30_i1,heur_semigreedy2s_v2_a0.35,0,150,8353,45,30,FEASIBLE,time limit with feasible solution,15,68.6343,50000,0.0980185,69
r_n150_p0.25_nA45_nB45_i2,heur_semigreedy2s_v2_a0.35,0,150,2800,45,45,FEASIBLE,time limit with feasible solution,5,43.9503,50000,0.00184119,1
r_n150_p0.5_nA45_nB45_i1,heur_semigreedy2s_v2_a0.35,0,150,5542,45,45,FEASIBLE,time limit with feasible solution,8,71.9769,50000,0.102442,70
r_n150_p0.25_nA45_nB45_i1,heur_semigreedy2s_v2_a0.35,0,150,2820,45,45,FEASIBLE,time limit with feasible solution,5,44.3608,50000,0.00740522,7
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v2_a0.35,0,150,5562,30,30,FEASIBLE,time limit with feasible solution,5,44.6337,50000,15.5194,17402
r_n150_p0.25_nA45_nB45_i0,heur_semigreedy2s_v2_a0.35,0,150,2747,45,45,FEASIBLE,time limit with feasible solution,5,43.2553,50000,0.00360586,3
r_n150_p0.75_nA45_nB45_i1,heur_semigreedy2s_v2_a0.35,0,150,8352,45,45,FEASIBLE,time limit with feasible solution,13,85.7495,50000,0.990645,573
r_n150_p0.75_nA45_nB45_i0,heur_semigreedy2s_v2_a0.35,0,150,8394,45,45,FEASIBLE,time limit with feasible solution,13,91.3613,50000,0.582002,315
r_n150_p0.25_nA45_nB30_i1,heur_semigreedy2s_v2_a0.35,0,150,2822,45,30,FEASIBLE,time limit with feasible solution,5,39.7837,50000,0.364736,454
r_n150_p0.5_nA45_nB30_i0,heur_semigreedy2s_v2_a0.35,0,150,5548,45,30,FEASIBLE,time limit with feasible solution,9,61.6827,50000,5.97672,4860
r_n150_p0.25_nA30_nB30_i0,heur_semigreedy2s_v2_a0.35,0,150,2747,30,30,FEASIBLE,time limit with feasible solution,3,28.8177,50000,5.04346,8774
r_n150_p0.75_nA45_nB30_i0,heur_semigreedy2s_v2_a0.35,0,150,8394,45,30,FEASIBLE,time limit with feasible solution,16,26.3058,50000,1.94562,3704
r_n150_p0.25_nA30_nB45_i2,heur_semigreedy2s_v2_a0.35,0,150,2796,30,45,FEASIBLE,time limit with feasible solution,3,30.704,50000,0.0685418,110
r_n150_p0.5_nA45_nB30_i1,heur_semigreedy2s_v2_a0.35,0,150,5541,45,30,FEASIBLE,time limit with feasible solution,9,60.3384,50000,0.0190889,15
r_n150_p0.75_nA30_nB30_i2,heur_semigreedy2s_v2_a0.35,0,150,8343,30,30,FEASIBLE,time limit with feasible solution,8,55.1415,50000,15.3294,13897
r_n150_p0.25_nA30_nB45_i0,heur_semigreedy2s_v2_a0.35,0,150,2747,30,45,FEASIBLE,time limit with feasible solution,3,30.2838,50000,4.6202,7610
r_n150_p0.25_nA45_nB30_i0,heur_semigreedy2s_v2_a0.35,0,150,2747,45,30,FEASIBLE,time limit with feasible solution,5,40.0202,50000,0.161168,199
r_n150_p0.75_nA30_nB30_i1,heur_semigreedy2s_v2_a0.35,0,150,8408,30,30,FEASIBLE,time limit with feasible solution,8,51.3465,50000,10.6647,10406
r_n150_p0.25_nA45_nB30_i2,heur_semigreedy2s_v2_a0.35,0,150,2794,45,30,FEASIBLE,time limit with feasible solution,5,40.617,50000,0.108659,133
r_n150_p0.75_nA30_nB45_i1,heur_semigreedy2s_v2_a0.35,0,150,8353,30,45,FEASIBLE,time limit with feasible solution,8,59.9163,50000,0.127007,104
r_n150_p0.25_nA30_nB45_i1,heur_semigreedy2s_v2_a0.35,0,150,2822,30,45,FEASIBLE,time limit with feasible solution,3,30.83,50000,0.106417,171
r_n150_p0.75_nA30_nB45_i0,heur_semigreedy2s_v2_a0.35,0,150,8394,30,45,FEASIBLE,time limit with feasible solution,8,61.0818,50000,11.194,9141
r_n150_p0.5_nA30_nB45_i2,heur_semigreedy2s_v2_a0.35,0,150,5525,30,45,FEASIBLE,time limit with feasible solution,5,51.6953,50000,0.300627,290
r_n150_p0.5_nA45_nB30_i2,heur_semigreedy2s_v2_a0.35,0,150,5567,45,30,UNKNOWN,unknown,-1,2.32692,50000,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i0,heur_semigreedy2s_v2_a0.35,0,150,8394,30,30,FEASIBLE,time limit with feasible solution,8,52.0669,50000,38.7518,37202
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v2_a0.35,0,150,2834,30,30,FEASIBLE,time limit with feasible solution,3,28.716,50000,0.783021,1366
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v2_a0.35,0,150,5522,30,30,FEASIBLE,time limit with feasible solution,5,45.5445,50000,33.7529,37072
r_n150_p0.5_nA45_nB45_i2,heur_semigreedy2s_v2_a0.35,0,150,5526,45,45,FEASIBLE,time limit with feasible solution,8,73.3687,50000,1.38219,940
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v2_a0.35,0,150,5548,30,30,FEASIBLE,time limit with feasible solution,5,45.8997,50000,32.2622,35134
r_n150_p0.25_nA30_nB30_i2,heur_semigreedy2s_v2_a0.35,0,150,2797,30,30,FEASIBLE,time limit with feasible solution,3,28.0957,50000,0.00877135,14
r_n150_p0.5_nA30_nB45_i0,heur_semigreedy2s_v2_a0.35,0,150,5548,30,45,FEASIBLE,time limit with feasible solution,5,49.0572,50000,9.98774,10167
r_n150_p0.75_nA45_nB45_i2,heur_semigreedy2s_v2_a0.2,0,150,8347,45,45,FEASIBLE,time limit with feasible solution,13,89.1079,50000,1.67494,940
r_n150_p0.5_nA30_nB45_i1,heur_semigreedy2s_v2_a0.2,0,150,5541,30,45,FEASIBLE,time limit with feasible solution,5,47.9693,50000,3.05286,3194
r_n150_p0.5_nA45_nB45_i0,heur_semigreedy2s_v2_a0.2,0,150,5548,45,45,FEASIBLE,time limit with feasible solution,8,72.1887,50000,0.262104,180
r_n150_p0.75_nA30_nB45_i2,heur_semigreedy2s_v2_a0.2,0,150,8343,30,45,FEASIBLE,time limit with feasible solution,8,66.3864,50000,3.37172,2530
r_n150_p0.75_nA45_nB30_i2,heur_semigreedy2s_v2_a0.2,0,150,8354,45,30,UNKNOWN,unknown,-1,3.04487,50000,-1,18446744073709551615
r_n150_p0.75_nA45_nB30_i1,heur_semigreedy2s_v2_a0.2,0,150,8353,45,30,FEASIBLE,time limit with feasible solution,15,68.8559,50000,0.142137,101
r_n150_p0.25_nA45_nB45_i2,heur_semigreedy2s_v2_a0.2,0,150,2800,45,45,FEASIBLE,time limit with feasible solution,5,44.3333,50000,0.00370594,3
r_n150_p0.5_nA45_nB45_i1,heur_semigreedy2s_v2_a0.2,0,150,5542,45,45,FEASIBLE,time limit with feasible solution,8,73.3272,50000,0.143815,98
r_n150_p0.25_nA45_nB45_i1,heur_semigreedy2s_v2_a0.2,0,150,2820,45,45,FEASIBLE,time limit with feasible solution,5,44.0785,50000,0.00181903,1
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v2_a0.2,0,150,5562,30,30,FEASIBLE,time limit with feasible solution,6,45.0926,50000,0.0119448,12
r_n150_p0.25_nA45_nB45_i0,heur_semigreedy2s_v2_a0.2,0,150,2747,45,45,FEASIBLE,time limit with feasible solution,4,42.9921,50000,41.0824,47780
r_n150_p0.75_nA45_nB45_i1,heur_semigreedy2s_v2_a0.2,0,150,8352,45,45,FEASIBLE,time limit with feasible solution,13,85.6287,50000,0.718354,418
r_n150_p0.75_nA45_nB45_i0,heur_semigreedy2s_v2_a0.2,0,150,8394,45,45,FEASIBLE,time limit with feasible solution,13,91.1962,50000,0.0738852,39
r_n150_p0.25_nA45_nB30_i1,heur_semigreedy2s_v2_a0.2,0,150,2822,45,30,FEASIBLE,time limit with feasible solution,5,39.1036,50000,6.40786,8195
r_n150_p0.5_nA45_nB30_i0,heur_semigreedy2s_v2_a0.2,0,150,5548,45,30,FEASIBLE,time limit with feasible solution,9,61.841,50000,0.99828,805
r_n150_p0.25_nA30_nB30_i0,heur_semigreedy2s_v2_a0.2,0,150,2747,30,30,FEASIBLE,time limit with feasible solution,3,29.1375,50000,5.08343,8753
r_n150_p0.75_nA45_nB30_i0,heur_semigreedy2s_v2_a0.2,0,150,8394,45,30,FEASIBLE,time limit with feasible solution,16,26.1856,50000,1.93552,3709
r_n150_p0.25_nA30_nB45_i2,heur_semigreedy2s_v2_a0.2,0,150,2796,30,45,FEASIBLE,time limit with feasible solution,3,30.2396,50000,0.027209,43
r_n150_p0.5_nA45_nB30_i1,heur_semigreedy2s_v2_a0.2,0,150,5541,45,30,FEASIBLE,time limit with feasible solution,9,60.1925,50000,0.0137033,10
r_n150_p0.75_nA30_nB30_i2,heur_semigreedy2s_v2_a0.2,0,150,8343,30,30,FEASIBLE,time limit with feasible solution,8,54.9168,50000,51.8066,47172
r_n150_p0.25_nA30_nB45_i0,heur_semigreedy2s_v2_a0.2,0,150,2747,30,45,FEASIBLE,time limit with feasible solution,3,30.0285,50000,3.51906,5843
r_n150_p0.25_nA45_nB30_i0,heur_semigreedy2s_v2_a0.2,0,150,2747,45,30,FEASIBLE,time limit with feasible solution,5,39.7544,50000,0.257837,324
r_n150_p0.75_nA30_nB30_i1,heur_semigreedy2s_v2_a0.2,0,150,8408,30,30,FEASIBLE,time limit with feasible solution,9,51.2568,50000,0.00214936,1
r_n150_p0.25_nA45_nB30_i2,heur_semigreedy2s_v2_a0.2,0,150,2794,45,30,FEASIBLE,time limit with feasible solution,5,40.1143,50000,0.352773,440
r_n150_p0.75_nA30_nB45_i1,heur_semigreedy2s_v2_a0.2,0,150,8353,30,45,FEASIBLE,time limit with feasible solution,8,59.7165,50000,2.67047,2223
r_n150_p0.25_nA30_nB45_i1,heur_semigreedy2s_v2_a0.2,0,150,2822,30,45,FEASIBLE,time limit with feasible solution,3,30.467,50000,0.0949655,152
r_n150_p0.75_nA30_nB45_i0,heur_semigreedy2s_v2_a0.2,0,150,8394,30,45,FEASIBLE,time limit with feasible solution,8,60.9856,50000,7.28102,5953
r_n150_p0.5_nA30_nB45_i2,heur_semigreedy2s_v2_a0.2,0,150,5525,30,45,FEASIBLE,time limit with feasible solution,5,51.3943,50000,0.0568995,54
r_n150_p0.5_nA45_nB30_i2,heur_semigreedy2s_v2_a0.2,0,150,5567,45,30,UNKNOWN,unknown,-1,2.3441,50000,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i0,heur_semigreedy2s_v2_a0.2,0,150,8394,30,30,FEASIBLE,time limit with feasible solution,8,52.0032,50000,42.0941,40482
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v2_a0.2,0,150,2834,30,30,FEASIBLE,time limit with feasible solution,3,27.8689,50000,0.034981,61
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v2_a0.2,0,150,5522,30,30,FEASIBLE,time limit with feasible solution,5,45.428,50000,4.69661,5166
r_n150_p0.5_nA45_nB45_i2,heur_semigreedy2s_v2_a0.2,0,150,5526,45,45,FEASIBLE,time limit with feasible solution,8,73.65,50000,8.99083,6100
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v2_a0.2,0,150,5548,30,30,FEASIBLE,time limit with feasible solution,5,45.746,50000,13.3058,14512
r_n150_p0.25_nA30_nB30_i2,heur_semigreedy2s_v2_a0.2,0,150,2797,30,30,FEASIBLE,time limit with feasible solution,3,28.3129,50000,0.00939169,15
r_n150_p0.5_nA30_nB45_i0,heur_semigreedy2s_v2_a0.2,0,150,5548,30,45,FEASIBLE,time limit with feasible solution,5,48.3904,50000,0.17816,183
r_n150_p0.75_nA45_nB45_i2,heur_semigreedy2s_v3_a0.1,0,150,8347,45,45,FEASIBLE,time limit with feasible solution,13,121.213,50000,0.123084,50
r_n150_p0.5_nA30_nB45_i1,heur_semigreedy2s_v3_a0.1,0,150,5541,30,45,FEASIBLE,time limit with feasible solution,5,51.3821,50000,0.0991593,95
r_n150_p0.5_nA45_nB45_i0,heur_semigreedy2s_v3_a0.1,0,150,5548,45,45,FEASIBLE,time limit with feasible solution,8,97.1588,50000,0.75436,386
r_n150_p0.75_nA30_nB45_i2,heur_semigreedy2s_v3_a0.1,0,150,8343,30,45,FEASIBLE,time limit with feasible solution,8,75.1703,50000,0.0745533,48
r_n150_p0.75_nA45_nB30_i2,heur_semigreedy2s_v3_a0.1,0,150,8354,45,30,UNKNOWN,unknown,-1,1.63293,50000,-1,18446744073709551615
r_n150_p0.75_nA45_nB30_i1,heur_semigreedy2s_v3_a0.1,0,150,8353,45,30,FEASIBLE,time limit with feasible solution,15,88.9988,50000,0.0857801,46
r_n150_p0.25_nA45_nB45_i2,heur_semigreedy2s_v3_a0.1,0,150,2800,45,45,FEASIBLE,time limit with feasible solution,5,51.9324,50000,0.00534469,4
r_n150_p0.5_nA45_nB45_i1,heur_semigreedy2s_v3_a0.1,0,150,5542,45,45,FEASIBLE,time limit with feasible solution,8,104.175,50000,0.0339346,15
r_n150_p0.25_nA45_nB45_i1,heur_semigreedy2s_v3_a0.1,0,150,2820,45,45,FEASIBLE,time limit with feasible solution,4,56.3736,50000,18.4604,16388
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v3_a0.1,0,150,5562,30,30,FEASIBLE,time limit with feasible solution,5,51.927,50000,2.07811,2005
r_n150_p0.25_nA45_nB45_i0,heur_semigreedy2s_v3_a0.1,0,150,2747,45,45,FEASIBLE,time limit with feasible solution,4,51.4823,50000,0.28435,276
r_n150_p0.75_nA45_nB45_i1,heur_semigreedy2s_v3_a0.1,0,150,8352,45,45,FEASIBLE,time limit with feasible solution,12,125.579,50000,63.5273,25301
r_n150_p0.75_nA45_nB45_i0,heur_semigreedy2s_v3_a0.1,0,150,8394,45,45,FEASIBLE,time limit with feasible solution,12,107.828,50000,30.8973,14324
r_n150_p0.25_nA45_nB30_i1,heur_semigreedy2s_v3_a0.1,0,150,2822,45,30,FEASIBLE,time limit with feasible solution,5,51.6057,50000,0.0117907,10
r_n150_p0.5_nA45_nB30_i0,heur_semigreedy2s_v3_a0.1,0,150,5548,45,30,FEASIBLE,time limit with feasible solution,9,84.7404,50000,0.87845,518
r_n150_p0.25_nA30_nB30_i0,heur_semigreedy2s_v3_a0.1,0,150,2747,30,30,FEASIBLE,time limit with feasible solution,3,27.3169,50000,0.00114245,1
r_n150_p0.75_nA45_nB30_i0,heur_semigreedy2s_v3_a0.1,0,150,8394,45,30,FEASIBLE,time limit with feasible solution,16,21.6915,50000,0.587882,1335
r_n150_p0.25_nA30_nB45_i2,heur_semigreedy2s_v3_a0.1,0,150,2796,30,45,FEASIBLE,time limit with feasible solution,3,29.0202,50000,0.000581743,0
r_n150_p0.5_nA45_nB30_i1,heur_semigreedy2s_v3_a0.1,0,150,5541,45,30,FEASIBLE,time limit with feasible solution,9,81.9405,50000,0.0233933,13
r_n150_p0.75_nA30_nB30_i2,heur_semigreedy2s_v3_a0.1,0,150,8343,30,30,FEASIBLE,time limit with feasible solution,8,61.1593,50000,5.77632,4726
r_n150_p0.25_nA30_nB45_i0,heur_semigreedy2s_v3_a0.1,0,150,2747,30,45,FEASIBLE,time limit with feasible solution,3,29.3771,50000,0.00308825,4
r_n150_p0.25_nA45_nB30_i0,heur_semigreedy2s_v3_a0.1,0,150,2747,45,30,FEASIBLE,time limit with feasible solution,5,51.2363,50000,0.0291286,27
r_n150_p0.75_nA30_nB30_i1,heur_semigreedy2s_v3_a0.1,0,150,8408,30,30,FEASIBLE,time limit with feasible solution,8,58.7181,50000,4.20862,3574
r_n150_p0.25_nA45_nB30_i2,heur_semigreedy2s_v3_a0.1,0,150,2794,45,30,FEASIBLE,time limit with feasible solution,5,50.2056,50000,0.0163419,15
r_n150_p0.75_nA30_nB45_i1,heur_semigreedy2s_v3_a0.1,0,150,8353,30,45,FEASIBLE,time limit with feasible solution,8,72.2599,50000,0.193082,132
r_n150_p0.25_nA30_nB45_i1,heur_semigreedy2s_v3_a0.1,0,150,2822,30,45,FEASIBLE,time limit with feasible solution,3,29.3664,50000,0.00427599,6
r_n150_p0.75_nA30_nB45_i0,heur_semigreedy2s_v3_a0.1,0,150,8394,30,45,FEASIBLE,time limit with feasible solution,8,70.1296,50000,0.294304,209
r_n150_p0.5_nA30_nB45_i2,heur_semigreedy2s_v3_a0.1,0,150,5525,30,45,FEASIBLE,time limit with feasible solution,5,54.5703,50000,0.101961,92
r_n150_p0.5_nA45_nB30_i2,heur_semigreedy2s_v3_a0.1,0,150,5567,45,30,UNKNOWN,unknown,-1,1.2952,50000,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i0,heur_semigreedy2s_v3_a0.1,0,150,8394,30,30,FEASIBLE,time limit with feasible solution,8,60.5917,50000,24.1125,19869
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v3_a0.1,0,150,2834,30,30,FEASIBLE,time limit with feasible solution,3,27.8721,50000,0.00820453,13
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v3_a0.1,0,150,5522,30,30,FEASIBLE,time limit with feasible solution,5,48.707,50000,0.620593,637
r_n150_p0.5_nA45_nB45_i2,heur_semigreedy2s_v3_a0.1,0,150,5526,45,45,FEASIBLE,time limit with feasible solution,8,97.7447,50000,0.0694006,34
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v3_a0.1,0,150,5548,30,30,FEASIBLE,time limit with feasible solution,5,51.6024,50000,4.24481,4125
r_n150_p0.25_nA30_nB30_i2,heur_semigreedy2s_v3_a0.1,0,150,2797,30,30,FEASIBLE,time limit with feasible solution,3,28.0542,50000,0.00169654,2
r_n150_p0.5_nA30_nB45_i0,heur_semigreedy2s_v3_a0.1,0,150,5548,30,45,FEASIBLE,time limit with feasible solution,5,53.7877,50000,0.551702,511
r_n150_p0.75_nA45_nB45_i2,heur_semigreedy2s_v3_a0.25,0,150,8347,45,45,FEASIBLE,time limit with feasible solution,13,120.165,50000,0.203716,84
r_n150_p0.5_nA30_nB45_i1,heur_semigreedy2s_v3_a0.25,0,150,5541,30,45,FEASIBLE,time limit with feasible solution,5,51.8269,50000,0.0190251,17
r_n150_p0.5_nA45_nB45_i0,heur_semigreedy2s_v3_a0.25,0,150,5548,45,45,FEASIBLE,time limit with feasible solution,8,96.8711,50000,3.3133,1713
r_n150_p0.75_nA30_nB45_i2,heur_semigreedy2s_v3_a0.25,0,150,8343,30,45,FEASIBLE,time limit with feasible solution,8,75.3153,50000,0.563357,375
r_n150_p0.75_nA45_nB30_i2,heur_semigreedy2s_v3_a0.25,0,150,8354,45,30,UNKNOWN,unknown,-1,1.62279,50000,-1,18446744073709551615
r_n150_p0.75_nA45_nB30_i1,heur_semigreedy2s_v3_a0.25,0,150,8353,45,30,FEASIBLE,time limit with feasible solution,15,88.667,50000,0.0854185,46
r_n150_p0.25_nA45_nB45_i2,heur_semigreedy2s_v3_a0.25,0,150,2800,45,45,FEASIBLE,time limit with feasible solution,4,51.1153,50000,9.98509,9791
r_n150_p0.5_nA45_nB45_i1,heur_semigreedy2s_v3_a0.25,0,150,5542,45,45,FEASIBLE,time limit with feasible solution,8,103.903,50000,0.0170828,7
r_n150_p0.25_nA45_nB45_i1,heur_semigreedy2s_v3_a0.25,0,150,2820,45,45,FEASIBLE,time limit with feasible solution,5,55.6993,50000,0.00350495,2
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v3_a0.25,0,150,5562,30,30,FEASIBLE,time limit with feasible solution,5,52.3355,50000,0.36906,352
r_n150_p0.25_nA45_nB45_i0,heur_semigreedy2s_v3_a0.25,0,150,2747,45,45,FEASIBLE,time limit with feasible solution,4,50.83,50000,1.12922,1113
r_n150_p0.75_nA45_nB45_i1,heur_semigreedy2s_v3_a0.25,0,150,8352,45,45,FEASIBLE,time limit with feasible solution,12,126.712,50000,12.9642,5088
r_n150_p0.75_nA45_nB45_i0,heur_semigreedy2s_v3_a0.25,0,150,8394,45,45,FEASIBLE,time limit with feasible solution,13,107.969,50000,0.145998,67
r_n150_p0.25_nA45_nB30_i1,heur_semigreedy2s_v3_a0.25,0,150,2822,45,30,FEASIBLE,time limit with feasible solution,5,50.1621,50000,0.0627355,61
r_n150_p0.5_nA45_nB30_i0,heur_semigreedy2s_v3_a0.25,0,150,5548,45,30,FEASIBLE,time limit with feasible solution,9,84.406,50000,0.552576,330
r_n150_p0.25_nA30_nB30_i0,heur_semigreedy2s_v3_a0.25,0,150,2747,30,30,FEASIBLE,time limit with feasible solution,3,28.2345,50000,0.0204201,34
r_n150_p0.75_nA45_nB30_i0,heur_semigreedy2s_v3_a0.25,0,150,8394,45,30,FEASIBLE,time limit with feasible solution,16,21.6794,50000,0.586633,1335
r_n150_p0.25_nA30_nB45_i2,heur_semigreedy2s_v3_a0.25,0,150,2796,30,45,FEASIBLE,time limit with feasible solution,3,29.0399,50000,0.00178831,2
r_n150_p0.5_nA45_nB30_i1,heur_semigreedy2s_v3_a0.25,0,150,5541,45,30,FEASIBLE,time limit with feasible solution,9,79.9938,50000,0.0550843,33
r_n150_p0.75_nA30_nB30_i2,heur_semigreedy2s_v3_a0.25,0,150,8343,30,30,FEASIBLE,time limit with feasible solution,8,61.4964,50000,3.67349,2990
r_n150_p0.25_nA30_nB45_i0,heur_semigreedy2s_v3_a0.25,0,150,2747,30,45,FEASIBLE,time limit with feasible solution,3,28.2175,50000,0.0173073,29
r_n150_p0.25_nA45_nB30_i0,heur_semigreedy2s_v3_a0.25,0,150,2747,45,30,FEASIBLE,time limit with feasible solution,5,50.6459,50000,0.0441322,42
r_n150_p0.75_nA30_nB30_i1,heur_semigreedy2s_v3_a0.25,0,150,8408,30,30,FEASIBLE,time limit with feasible solution,8,58.9743,50000,0.0794392,65
r_n150_p0.25_nA45_nB30_i2,heur_semigreedy2s_v3_a0.25,0,150,2794,45,30,FEASIBLE,time limit with feasible solution,5,51.0397,50000,0.011368,10
r_n150_p0.75_nA30_nB45_i1,heur_semigreedy2s_v3_a0.25,0,150,8353,30,45,FEASIBLE,time limit with feasible solution,8,72.1402,50000,0.697177,479
r_n150_p0.25_nA30_nB45_i1,heur_semigreedy2s_v3_a0.25,0,150,2822,30,45,FEASIBLE,time limit with feasible solution,3,28.1655,50000,0.0164746,27
r_n150_p0.75_nA30_nB45_i0,heur_semigreedy2s_v3_a0.25,0,150,8394,30,45,FEASIBLE,time limit with feasible solution,8,71.6959,50000,0.177927,123
r_n150_p0.5_nA30_nB45_i2,heur_semigreedy2s_v3_a0.25,0,150,5525,30,45,FEASIBLE,time limit with feasible solution,5,54.3118,50000,0.0686788,61
r_n150_p0.5_nA45_nB30_i2,heur_semigreedy2s_v3_a0.25,0,150,5567,45,30,UNKNOWN,unknown,-1,1.30159,50000,-1,18446744073709551615
r_n150_p0.75_nA30_nB30_i0,heur_semigreedy2s_v3_a0.25,0,150,8394,30,30,FEASIBLE,time limit with feasible solution,8,60.025,50000,5.40175,4488
r_n150_p0.25_nA30_nB30_i1,heur_semigreedy2s_v3_a0.25,0,150,2834,30,30,FEASIBLE,time limit with feasible solution,3,28.2931,50000,0.00524404,8
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v3_a0.25,0,150,5522,30,30,FEASIBLE,time limit with feasible solution,5,49.8267,50000,0.754471,757
r_n150_p0.5_nA45_nB45_i2,heur_semigreedy2s_v3_a0.25,0,150,5526,45,45,FEASIBLE,time limit with feasible solution,8,97.2616,50000,0.00406059,1
