instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,nNodesInt,nNodesFrac,nNodesGcp,nNodesTrivial,nNodesInfeas,nNodesInfeasPrepro,nNodesInfeasCheck,nNodesInfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ninitSol,ninitDummy,ninit,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n50_p0.25_nA10_nB2_i1,byp_,0,50,302,10,2,-1,-1,OPTIMAL,optimality proven,0.609479,1,0,1.0,1.0,0.0,1,0,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,1.0,1.0,0.603902,0.0,102,0,100,1,0,1,0,0,0,0,0,0,0.0041852,1.64e-07,0.00103343,2.5376e-05,0.0,0.00312623,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n70_p0.75_nA7_nB1_i1,byp_,0,70,1794,7,1,-1,-1,INFEASIBLE,infeasibility proven,2.46793,1,0,-1.0,-2147483648.0,-1.0,0,0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0,1,1,385.615,-1.0,1.70474,0.0,704,0,700,1,2,1,37,0,36,0,1,0,0.759802,4.66e-07,0.0124643,2.6259e-05,0.00603156,0.741279,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n60_p0.5_nA6_nB2_i1,feas-enum_,0,60,883,6,2,-1,-1,FEASIBLE,time limit with feasible solution,0.00232921,0,0,6.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n50_p0.25_nA10_nB2_i0,feas-ilp_,0,50,302,10,2,-1,-1,FEASIBLE,time limit with feasible solution,0.00245178,0,0,10.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n60_p0.5_nA12_nB1_i1,feas-enum_,0,60,883,12,1,-1,-1,INFEASIBLE,infeasibility proven,0.00193675,0,0,7.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n60_p0.5_nA6_nB2_i0,byp_,0,60,885,6,2,-1,-1,OPTIMAL,optimality proven,0.756755,1,0,1.0,1.0,0.0,1,0,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,1.0,1.0,0.746037,0.0,102,0,100,1,0,1,0,0,0,0,0,0,0.00873937,1.76e-07,0.00130535,4.3059e-05,0.0,0.00739079,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n50_p0.25_nA10_nB4_i1,feas-ilp_,0,50,302,10,4,-1,-1,FEASIBLE,time limit with feasible solution,0.00204681,0,0,10.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n50_p0.25_nA10_nB3_i0,feas-ilp_,0,50,302,10,3,-1,-1,FEASIBLE,time limit with feasible solution,0.00257467,0,0,10.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n50_p0.25_nA10_nB4_i2,feas-ilp_,0,50,287,10,4,-1,-1,FEASIBLE,time limit with feasible solution,0.00197211,0,0,10.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n70_p0.75_nA7_nB2_i0,feas-enum_,0,70,1800,7,2,-1,-1,FEASIBLE,time limit with feasible solution,0.0030673,0,0,7.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n50_p0.25_nA5_nB4_i0,feas-enum_,0,50,302,5,4,-1,-1,FEASIBLE,time limit with feasible solution,0.00105923,0,0,5.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n70_p0.75_nA14_nB1_i2,byp_,0,70,1809,14,1,-1,-1,INFEASIBLE,infeasibility proven,0.000529685,1,0,-1.0,-2147483648.0,-1.0,0,0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n50_p0.25_nA10_nB2_i0,feas-enum_,0,50,302,10,2,-1,-1,FEASIBLE,time limit with feasible solution,0.00102931,0,0,10.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n60_p0.5_nA12_nB3_i2,feas-ilp_,0,60,888,12,3,-1,-1,FEASIBLE,time limit with feasible solution,0.0038428,0,0,12.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n50_p0.25_nA5_nB2_i0,feas-enum_,0,50,302,5,2,-1,-1,FEASIBLE,time limit with feasible solution,0.00136618,0,0,5.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n60_p0.5_nA12_nB1_i2,byp_,0,60,882,12,1,-1,-1,INFEASIBLE,infeasibility proven,0.865442,1,0,-1.0,-2147483648.0,-1.0,0,0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0,1,1,445.444,-1.0,0.155755,0.0,1406,0,1400,3,0,3,70,0,68,0,0,2,0.706215,9.55e-07,0.0211581,6.1153e-05,0.0,0.684995,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n50_p0.25_nA5_nB1_i0,feas-ilp_,0,50,302,5,1,-1,-1,FEASIBLE,time limit with feasible solution,0.00386898,0,0,5.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n50_p0.25_nA5_nB2_i1,byp_,0,50,302,5,2,-1,-1,OPTIMAL,optimality proven,0.429221,1,0,1.0,1.0,0.0,1,0,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,1.0,1.0,0.424016,0.0,102,0,100,1,0,1,0,0,0,0,0,0,0.0038451,1.83e-07,0.000815842,4.133e-05,0.0,0.00298775,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n70_p0.75_nA7_nB4_i0,byp_,0,70,1800,7,4,-1,-1,OPTIMAL,optimality proven,6.1322,1,0,2.0,2.0,0.0,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,1.75,2.0,6.11342,0.0,701,0,700,0,1,0,51,0,51,0,0,0,0.0153274,4.67e-07,0.0127894,0.0,0.00253757,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n60_p0.5_nA6_nB4_i2,feas-ilp_,0,60,882,6,4,-1,-1,FEASIBLE,time limit with feasible solution,0.00322904,0,0,6.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n60_p0.5_nA6_nB4_i1,byp_,0,60,883,6,4,-1,-1,OPTIMAL,optimality proven,0.978713,1,0,1.0,1.0,0.0,1,0,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,1.0,1.0,0.968308,0.0,102,0,100,1,0,1,0,0,0,0,0,0,0.00846438,1.62e-07,0.00143902,3.4206e-05,0.0,0.006991,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n60_p0.5_nA12_nB3_i0,feas-enum_,0,60,885,12,3,-1,-1,FEASIBLE,time limit with feasible solution,0.00247302,0,0,12.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n60_p0.5_nA12_nB3_i2,byp_,0,60,888,12,3,-1,-1,OPTIMAL,optimality proven,2.48764,1,0,3.0,3.0,0.0,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,2.23457,3.0,1.15981,0.0,2324,0,2300,13,0,11,89,0,77,2,0,10,1.32298,1.656e-06,0.0353504,0.00172138,0.0,1.2859,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n70_p0.75_nA7_nB4_i0,feas-enum_,0,70,1800,7,4,-1,-1,FEASIBLE,time limit with feasible solution,0.00323052,0,0,7.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
